Created at 1/26/2008 11:03:47 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\orthorhombic\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
94,0.354205626584034,2.34722570383529E-12,9.88710234061955E-30,1.11081512452445E-05,8.72851372063516E-02,4.43173890384164E-03,2.14757405477649E-04,2.43597200956609E-06,0.446150804225307,0,0,0,0
95,0.523299382463791,2.04875729811836E-11,1.87259504281284E-31,1.14512115414992E-05,8.82515272228732E-02,4.51350619787516E-03,2.20674069498215E-04,2.57533566074798E-06,0.616299116521728,0,0,0,0
96,0.691540966568749,1.60916692567687E-10,6.81090224262104E-32,1.1405345715486E-05,8.90931247822129E-02,4.59539346975486E-03,2.26596814036721E-04,2.71505932063851E-06,0.785470202200706,0,0,0,0
97,0.817444971913015,1.13739210346953E-09,2.26738560410238E-30,1.09447960201168E-05,8.97461700998053E-02,4.67740289530279E-03,2.32525802289236E-04,2.85515398287122E-06,0.912114871797807,0,0,0,0
98,0.864315029376937,7.23519601962659E-09,7.1521585660487E-29,1.01032301707504E-05,0.090210663878654,4.75953665351234E-03,2.38461197617262E-04,2.99560793642232E-06,0.959536797180024,0,0,0,0
99,0.817444971913015,4.14253461505878E-08,2.04142354943911E-27,8.95964311713815E-06,0.090486596737535,4.84179692660475E-03,2.44403163552064E-04,3.13641045273348E-06,0.913029906219623,0,0,0,0
100,0.691540966568749,2.13510734711013E-07,5.27240754785654E-26,7.62303101901555E-06,9.05739492102126E-02,4.92418590008581E-03,2.50351863799002E-04,3.27753966814537E-06,0.787300567624268,0,0,0,0
101,0.523299382463791,9.9082535375886E-07,1.23216769427535E-24,6.21437564201902E-06,0.090472691744264,5.00670576280254E-03,2.56307462241867E-04,3.41896649552072E-06,0.619045711600591,0,0,0,0
102,0.354205626584034,4.14112562914694E-06,2.60568509113516E-23,4.84816600793136E-06,9.01827846995131E-02,5.08935870700001E-03,2.62270122947224E-04,3.5606689911401E-06,0.449752590074123,0,0,0,0
103,0.214453734294362,1.55937885921159E-05,4.98623781880025E-22,3.6168927869655E-06,8.97041783460724E-02,5.17214692837822E-03,2.68240010168762E-04,3.70261016894257E-06,0.309621212870529,0,0,0,0
104,0.116140768175513,5.29337588194667E-05,8.63440530447678E-21,2.5813368911052E-06,8.91090762845082E-02,5.25507262614911E-03,2.7421728835164E-04,3.84476812386884E-06,0.210838494238356,0,0,0,0
105,5.62611621980723E-02,1.62103954133871E-04,1.35304379520846E-19,1.76791565677321E-06,8.83814286056948E-02,5.33813800309361E-03,2.80202122136845E-04,3.98711317510337E-06,0.150428789911963,0,0,0,0
106,2.43784241061241E-02,4.48333843255974E-04,1.91878161786993E-18,1.17254400184207E-06,8.75919271956386E-02,5.42134526561883E-03,2.86194676365557E-04,4.1296285690812E-06,0.118131527259574,0,0,0,0
107,9.44877442120655E-03,1.12153491512186E-03,2.46258462638322E-17,7.68964659691417E-07,8.67404957063783E-02,5.50469662381529E-03,2.92195116083514E-04,4.27229894524221E-06,0.10311273804621,0,0,0,0
108,3.27580662878758E-03,2.54298233707263E-03,2.86042483191341E-16,5.18766320902318E-07,8.58908251118059E-02,5.58819429151427E-03,2.98203606545381E-04,4.41511354948447E-06,9.76009458555964E-02,0,0,0,0
