Created at 1/26/2008 10:57:17 AM from C:\Documents and Settings\Brandon\My Documents\aClimax\liBH4\Li2B12H12\VASP.ACLIMAX
Created using a-CLIMAX v.5.5.0 LE (Workshop Edition)
CM-1,0-1,0-2,0-3,0-4,W1,W2,W3,W4,Total,Experimental,IR,Raman,Raman Depolarised
66,1.18110447670639E-02,5.96687959048924E-05,5.39545701519262E-04,2.51019907841578E-07,0.024465668120934,2.46910900120373E-04,8.92333358062564E-07,2.73232615312227E-11,3.71239816661316E-02,0,0,0,0
67,3.99628280659937E-03,1.66789143147144E-04,5.32340526855685E-04,3.14487935458956E-07,2.51134404531003E-02,2.57892388850347E-04,1.02071616732205E-06,4.55396237202216E-11,3.00680805681952E-02,0,0,0,0
68,1.27372567461267E-03,4.13170190586757E-04,4.97047013361337E-04,3.65909106746478E-07,2.57618618716259E-02,2.68880781641155E-04,1.15820975344995E-06,6.83110377964644E-11,2.82162097189991E-02,0,0,0,0
69,6.84499289471835E-04,9.07055536747429E-04,4.52996781678191E-04,4.15496279125048E-07,2.64109492929388E-02,2.79876373569211E-04,1.30687473062517E-06,9.56381446911029E-11,2.87370997410533E-02,0,0,0,0
70,1.38082754598473E-03,1.76507574546784E-03,4.20243940726128E-04,4.90488877224475E-07,0.027060719650499,2.90879459898603E-04,1.46754528751403E-06,1.27521713559343E-10,3.09197045042628E-02,0,0,0,0
71,4.05183837479428E-03,3.04584659406037E-03,4.08224142766587E-04,6.22946777454688E-07,2.77111898952344E-02,3.02013876376822E-04,1.64146849869836E-06,1.75286759420959E-10,3.55213774737954E-02,0,0,0,0
72,1.10527032980551E-02,4.66564351138964E-03,4.11806065779233E-04,8.27786814917168E-07,2.83623769959764E-02,3.13279922190125E-04,1.82749013330822E-06,2.50506800688497E-10,4.48084653208454E-02,0,0,0,0
73,2.68643136673377E-02,6.35928968985018E-03,4.15882750307991E-04,1.0844808311468E-06,2.90142979398957E-02,3.24677900259368E-04,2.02267934864461E-06,3.53183968013797E-10,6.29815694610147E-02,0,0,0,0
74,5.80136600289232E-02,7.75535784591329E-03,4.0455159966435E-04,1.33829027071499E-06,2.96669697329398E-02,3.36208117247922E-04,2.22603189383662E-06,4.83321174096548E-10,9.61803121301742E-02,0,0,0,0
75,0.111289066762616,8.5694020147947E-03,3.69148743427503E-04,1.52717224819045E-06,3.03204094002694E-02,3.47870883569689E-04,2.43608401470097E-06,6.36368343651883E-10,0.150899861697309,0,0,0,0
76,0.189645096899641,8.81267070026488E-03,3.11298593574141E-04,1.62198457356631E-06,3.09825622025727E-02,3.59666513397222E-04,2.65284157649396E-06,8.12329825559335E-10,0.23011557054793,0,0,0,0
77,0.287085301463387,8.86025085671498E-03,2.4065900049744E-04,1.65321711627484E-06,3.16534454334595E-02,3.71595324669945E-04,2.87631063519798E-06,1.01121062286925E-09,0.328215782617691,0,0,0,0
78,0.38610317142464,9.29076275063825E-03,1.697317385618E-04,1.70107308454127E-06,3.23330766357818E-02,3.83800411090032E-04,3.10649743768324E-06,1.24607806764243E-09,0.428285351777313,0,0,0,0
79,0.461480924272242,1.05620579730123E-02,1.08815665439421E-04,1.84878564337307E-06,0.033021473602086,3.96282102282096E-04,3.34216044509224E-06,1.53810903978837E-09,0.505574746099259,0,0,0,0
80,0.490667688652309,1.27076046702188E-02,6.32219265654331E-05,2.12629802129039E-06,3.37186543750712E-02,4.09212023481355E-04,3.58124945134683E-06,1.89687848927337E-09,0.537572091091997,0,0,0,0
81,0.465525728452641,1.52383722801496E-02,3.32295342392677E-05,2.48217438879609E-06,3.44246372480539E-02,4.22590525127755E-04,3.82294108789503E-06,2.32650899095705E-09,0.515650865482197,0,0,0,0
82,0.397911816075152,1.73204043141044E-02,1.58931121588768E-05,2.80624140634407E-06,3.51394407654404E-02,4.36294430279121E-04,4.06599951257178E-06,2.81568872734604E-09,0.450830723753742,0,0,0,0
83,0.315269566627823,1.81433148128697E-02,7.30236129137491E-06,2.99273121260208E-06,3.58630837232056E-02,4.50324111673063E-04,4.30917109275285E-06,3.35285954888085E-09,0.369740896892028,0,0,0,0
84,0.249141715693251,1.72871200271265E-02,4.23763795902099E-06,3.00513519073363E-06,0.036595585169378,4.64679951448767E-04,4.55246263574493E-06,3.93803686550574E-09,0.303500900015027,0,0,0,0
85,0.223232973456981,1.48951192516684E-02,4.87227636323277E-06,2.90011710606212E-06,3.73369644045326E-02,4.79362341157058E-04,4.79588095205255E-06,4.58076456539455E-09,0.275956992309525,0,0,0,0
86,0.245990462334235,0.011573677409341,8.68375084219899E-06,2.79338689844231E-06,3.80953980513872E-02,4.94371681770725E-04,5.03943285556025E-06,5.3001331906753E-09,0.296170431347464,0,0,0,0
87,0.308948097509031,8.09847405429032E-03,1.58667416293542E-05,2.78873802575657E-06,3.88629779406801E-02,5.09708383695094E-04,5.28312516371475E-06,6.10837651612243E-09,0.356443202600892,0,0,0,0
88,0.390363378448667,5.1060297937948E-03,2.6501765937011E-05,2.91555239529244E-06,3.96397243838308E-02,5.25372866778868E-04,5.52811922736851E-06,7.01544040202806E-09,0.435669457946071,0,0,0,0
89,0.463718432445521,2.92612366757556E-03,3.97924756053558E-05,3.11335497905855E-06,4.04256579575904E-02,5.41222788337649E-04,5.7744219056394E-06,8.01583174861884E-09,0.507660125127347,0,0,0,0
90,0.509340097743427,1.59691501235853E-03,5.38349716722337E-05,3.27042580266779E-06,4.12207995045762E-02,5.57258583014033E-04,6.02204009575531E-06,9.08840926383909E-09,0.552778207369356,0,0,0,0
